timeStamp,robotRealCenCoords,robotHeading
0.0,[nan nan]
0.0,"(215.35478204488754, -170.31541883945465)",-66.83927499126098
0.0,"(215.4496424794197, -170.39250600337982)",-66.80084151680131
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,"(214.89524102210999, -169.99481916427612)",-66.9149808080214
0.0,"(215.47202879190445, -170.4092653989792)",-66.79573253530215
0.0,"(215.08865982294083, -170.38776910305023)",-66.85075653925577
0.0,"(215.7330904006958, -170.42685508728027)",-66.70886618943793
0.0,"(215.57973444461823, -170.32392919063568)",-66.80777415880888
0.0,[nan nan]
0.0,"(215.4787011742592, -170.2736998796463)",-66.80190019612267
0.0,"(215.7827919125557, -170.3324224948883)",-66.73470479506808
0.0,"(215.04573041200638, -170.23443484306335)",-66.90235178824605
0.0,"(215.31082397699356, -170.25606060028076)",-66.83043672647499
0.0,"(215.17966693639755, -170.20337080955505)",-66.82814861310302
0.0,[nan nan]
0.0,[nan nan]
0.0,"(215.3012021780014, -170.35134637355804)",-66.80742581916121
0.0,"(214.7504187822342, -170.13162803649902)",-66.94883122554798
0.0,"(215.52217084169388, -170.32886838912964)",-66.78349283630949
0.0,[nan nan]
0.0,"(215.4505699276924, -170.29634714126587)",-66.77109604296591
0.0,[nan nan]
0.0,"(215.19541716575623, -170.15873908996582)",-66.88332971140755
0.0,"(215.89271754026413, -170.28003752231598)",-66.70489101934098
0.0,[nan nan]
0.0,[nan nan]
0.0,"(215.33200711011887, -170.21949088573456)",-66.82523212232744
0.0,"(215.08107060194016, -170.19546258449554)",-66.89861567477006
0.0,"(215.85738748311996, -170.38324165344238)",-66.66717471474416
0.0,"(215.37300837039948, -170.3326015472412)",-66.78970147826503
0.0,"(215.03273284435272, -170.23974442481995)",-66.8564665774019
0.0,[nan nan]
0.0,"(215.5391285419464, -170.35892820358276)",-66.73033347399928
0.0,"(215.34643125534058, -170.27333307266235)",-66.7780218547843
0.0,"(214.79784041643143, -170.14112055301666)",-66.91754895914933
0.0,"(215.61672419309616, -170.39203894138336)",-66.72797022854645
0.0,"(215.27883952856064, -170.210986495018)",-66.84033367058232
0.0,[nan nan]
0.0,"(214.8363247513771, -170.17212533950806)",-66.91672250625976
0.0,"(214.7735361456871, -170.1618114709854)",-66.9130888456213
0.0,"(215.66172564029694, -170.25330710411072)",-66.73100283253794
0.0,"(215.92967116832733, -170.28724586963654)",-66.67819864006456
0.14099419995909557,"(215.36581766605377, -170.32986545562744)",-66.82168042395902
0.3524654000066221,"(215.24104487895966, -170.28673315048218)",-66.85721106802143
0.5704519000137225,[nan nan]
0.7785455000121146,[nan nan]
1.0066967000020668,"(215.4609060883522, -170.1795390844345)",-66.77977038321183
1.2219445999944583,[nan nan]
1.4519388999906369,[nan nan]
1.6741016999585554,"(215.43145471811295, -170.11915504932404)",-66.77554932630476
1.9217950999736786,"(216.0728719830513, -170.48518323898315)",-66.6108393144699
2.150105899956543,"(214.88632917404175, -170.15496945381165)",-66.9202878650065
2.4324412999558263,"(215.32142585515976, -170.1447184085846)",-66.81492536686989
2.6551302999723703,"(215.12074291706085, -170.28323352336884)",-66.86754514423566
2.8952471999800764,"(214.8201483488083, -170.18030393123627)",-66.92084111032928
3.2074049999937415,"(214.64866745471954, -170.23496413230896)",-66.9523351125922
3.443938300013542,"(215.1108273267746, -170.2088292837143)",-66.85408967157073
3.7006812999607064,"(215.76975631713867, -170.33565247058868)",-66.6877130935784
3.9473946999642067,[nan nan]
4.159071200003382,"(215.51790708303452, -170.27343559265137)",-66.78028264739957
4.381891899975017,"(215.34978890419006, -170.17607128620148)",-66.822643480632
4.6218666000058874,[nan nan]
4.8317333000013605,"(215.1686254143715, -170.20046734809875)",-66.86710118193962
5.058989799988922,"(215.24228584766388, -170.1521567106247)",-66.83002008493561
5.266864600009285,[nan nan]
5.463860199961346,"(215.69970273971558, -170.43242025375366)",-66.68237871583662
5.648793099971954,"(215.0659756064415, -170.24221217632294)",-66.88466159829571
5.8315342999994755,[nan nan]
6.05153459997382,"(215.37158209085464, -170.1559295654297)",-66.82230880136267
6.282678999996278,[nan nan]
6.507179600012023,"(216.19532161951065, -170.56766593456268)",-66.61728018285723
6.737624600005802,"(215.20286524295807, -170.3852995634079)",-66.81752083875449
6.972124699968845,[nan nan]
7.210227100003976,[nan nan]
7.4184420999954455,[nan nan]
7.65691630000947,[nan nan]
7.868376099970192,"(214.54061019420624, -170.09578275680542)",-67.03260349571819
8.100025799998548,[nan nan]
8.308572000009008,[nan nan]
8.504639199993107,[nan nan]
8.727752899983898,"(215.60006427764893, -170.34234535694122)",-66.74122079553628
8.96500590001233,"(215.40484821796417, -170.28925824165344)",-66.83040257552913
9.183670500002336,"(215.90200340747833, -170.20905590057373)",-66.67813033817286
9.400039399974048,"(214.9960377216339, -170.21348643302917)",-66.89106831573719
9.602262999978848,"(214.6744982600212, -170.09544909000397)",-67.00033768207905
9.789282999990974,"(214.78452265262604, -170.13487792015076)",-66.94703488579627
9.989256699976977,"(215.09375196695328, -170.10236716270447)",-66.83746499113093
10.183484499983024,"(215.73077708482742, -170.226380944252)",-66.77233230720569
10.36413249996258,[nan nan]
10.559299299959093,"(215.32306534051895, -170.18946170806885)",-66.78561019495218
10.752886399975978,"(214.9027858376503, -170.06616055965424)",-66.91916771398262
10.942610199970659,"(215.56013721227646, -170.32632410526276)",-66.727068643576
11.135608999989927,"(215.26513248682022, -170.27779686450958)",-66.84799714283109
11.324847300013062,"(214.85574787855148, -170.14568495750427)",-66.89992024090152
11.519378299999516,"(215.5168732404709, -170.3273274898529)",-66.70777335917073
11.720329299976584,"(215.54133868217468, -170.30778563022614)",-66.77738664719149
11.926753200008534,"(215.51625949144363, -170.18557262420654)",-66.81210449874267
12.123253099969588,"(215.53461170196533, -170.3421540260315)",-66.76001747613215
12.357542000012472,"(214.91473668813705, -170.2311817407608)",-66.90834869433732
12.604852099961136,[nan nan]
12.81183159997454,"(215.4433029294014, -170.325577378273)",-66.77740030756983
12.995006199984346,[nan nan]
13.230118200008292,"(214.82862728834152, -170.13053178787231)",-66.96234133972627
13.423365299997386,"(215.28538709878922, -170.13322269916534)",-66.86836476693607
13.629057399986777,[nan nan]
13.852905999985524,[nan nan]
14.08636519999709,"(215.5339115858078, -170.31727588176727)",-66.79976917710162
14.295804299996234,"(214.61123651266098, -170.07175886631012)",-66.97803711443896
14.513144099968486,[nan nan]
14.699854700011201,"(215.37712115049362, -170.09127259254456)",-66.83006106607063
14.913458199996967,[nan nan]
15.113519300008193,"(215.37013882398605, -170.06423091888428)",-66.77910102467317
15.306223499996122,"(215.67358815670013, -170.25801932811737)",-66.76643102376279
15.50244670000393,"(215.13864862918854, -170.21796476840973)",-66.88906707031038
15.683666199969593,"(214.9460499882698, -170.1915785074234)",-66.9305809600857
15.878856299968902,[nan nan]
16.072603899985552,[nan nan]
16.275107199966442,"(215.01960682868958, -170.08373272418976)",-66.85987484179773
16.474600499961525,"(215.11443448066711, -170.1039823293686)",-66.89332910835246
16.70812189998105,"(215.20409840345383, -170.1541393995285)",-66.87402016356883
16.92352780001238,"(214.95425009727478, -170.233412027359)",-66.85534642637802
17.13484889996471,"(215.67248338460922, -170.40774726867676)",-66.70472026461172
17.324101299978793,"(215.30645728111267, -170.38837718963623)",-66.81766427272706
17.518206299981102,[nan nan]
17.717998799984343,[nan nan]
17.911274299956858,[nan nan]
18.15142619999824,[nan nan]
18.36345139995683,[nan nan]
18.583410699968226,"(215.04994851350784, -170.35306775569916)",-66.85152152044282
18.78819019999355,[nan nan]
18.99056969996309,"(214.52450668811798, -170.06524538993835)",-66.94473311204598
19.171618999971543,"(215.1023252606392, -170.30422115325928)",-66.8724082389247
19.378743599983864,"(215.44517421722412, -170.40730023384094)",-66.76162257058711
19.58383049996337,"(215.92377799749374, -170.49610316753387)",-66.64421844894376
19.784056400007103,[nan nan]
19.97136009996757,"(215.56710976362228, -170.22657907009125)",-66.74618634306287
20.162678299995605,"(217.79238390922546, -164.12132096290588)",-66.88651257956079
20.34679400001187,"(222.47275763750076, -153.31223094463348)",-67.25858713459724
20.526758899970446,"(228.52892035245895, -142.1125466823578)",-67.15498682526648
20.72314199997345,"(231.96670681238174, -133.62413728237152)",-67.50941217148761
20.92127349996008,"(236.9508571624756, -121.96793353557587)",-67.73009558357072
21.114803800010122,"(243.679019510746, -110.22570872306824)",-67.6157582168647
21.331695300003048,"(247.83482611179352, -98.04258131980896)",-68.14505689640568
21.532635499956086,"(255.17528080940247, -83.47274565696716)",-68.07793662743197
21.711178899975494,"(257.89383631944656, -73.46757447719574)",-68.63612700716209
21.90199039998697,"(264.4123686552048, -61.437222838401794)",-68.52853786735605
22.09981769998558,"(269.0675595998764, -48.632049441337585)",-69.02006560078684
22.28158229996916,"(274.99816542863846, -35.72468912601471)",-69.04589054603866
22.47385020001093,"(281.14259934425354, -22.92331027984619)",-69.0698645100254
22.656944899994414,"(285.2947075366974, -13.044878005981445)",-69.1881907072067
22.867876200005412,"(289.8793399333954, 0.31134188175201416)",-69.60955190729396
23.071094000013545,"(294.94613498449326, 13.776711821556091)",-69.82660165873862
23.268940899986774,"(301.0260108113289, 26.95927619934082)",-69.75064995516809
23.509193399979267,"(306.33727741241455, 40.40050554275513)",-69.99857899185038
23.696425599977374,"(312.51600885391235, 57.36667287349701)",-70.28692225785164
