timeStamp,robotRealCenCoords,robotHeading
0.0,"(217.84581130743027, -169.34278559684753)",-67.15112776838542
0.0,"(217.87266767024994, -169.18077552318573)",-67.18019022330382
0.0,"(218.17217183113098, -169.40581810474396)",-67.02876492940464
0.0,"(218.08634585142136, -169.32667875289917)",-67.11563810545803
0.0,"(218.3636416196823, -169.29834294319153)",-67.00616383344106
0.0,"(218.30388420820236, -169.30848705768585)",-67.05924123348125
0.0,"(218.24472999572754, -169.28783810138702)",-67.05616081816557
0.0,"(218.2661725282669, -169.2824409008026)",-67.03292451460918
0.0,"(218.29355937242508, -169.31385958194733)",-67.03868919426867
0.0,"(217.59968435764313, -169.13636088371277)",-67.20099497951568
0.0,"(218.0940700173378, -169.3552405834198)",-67.0654430452476
0.0,"(218.02474784851074, -169.17791950702667)",-67.07930149907357
0.0,"(218.31847894191742, -169.31240451335907)",-67.09139093390449
0.0,"(218.62853503227234, -169.23381757736206)",-66.94732858393058
0.0,"(218.26787263154984, -169.26371443271637)",-67.04968579883239
0.0,"(218.05181002616882, -169.25663721561432)",-67.0623694601211
0.0,"(217.85204148292542, -169.27038300037384)",-67.0746023289246
0.0,"(217.99061465263367, -169.24136769771576)",-67.10341889703288
0.0,"(218.26933604478836, -169.26367461681366)",-67.06788142278131
0.0,"(217.69807362556458, -169.22039127349854)",-67.15097067403451
0.0,"(217.45149397850037, -169.0582582950592)",-67.21598041455469
0.0,"(217.38417506217957, -169.1046746969223)",-67.19100241275996
0.0,"(217.8760710954666, -169.42882752418518)",-67.10041361379808
0.0,"(218.48962724208832, -169.3051689863205)",-66.98012032213582
0.0,"(217.73212718963623, -169.18484902381897)",-67.14131278654811
0.0,"(217.76852804422379, -169.22582137584686)",-67.13613550315725
0.0,"(217.13621145486832, -168.95818769931793)",-67.32363102606327
0.0,"(217.53331035375595, -169.0780655145645)",-67.23106147224208
0.0,"(218.21761190891266, -169.27744114398956)",-67.00952428651271
0.0,"(217.9273488521576, -169.13281798362732)",-67.2265945285249
0.0,"(218.09801799058914, -169.28197371959686)",-67.10466199146182
0.0,"(217.1156945824623, -169.00256395339966)",-67.33208680025574
0.0,"(217.92902290821075, -169.17436337471008)",-67.08700595245735
0.0,"(218.2921934723854, -169.3276617527008)",-67.05999938447911
0.0,"(217.94441884756088, -169.24685156345367)",-67.05879044099602
0.2528565000393428,"(217.8192029595375, -169.10863161087036)",-67.15663290085645
0.5012056000414304,"(218.11693930625916, -169.16473031044006)",-67.0766991969998
0.7627545000286773,"(217.88607788085938, -169.20471906661987)",-67.11198395425208
1.0565430000424385,"(218.5854504108429, -169.3828752040863)",-66.99760560641104
1.3224320000153966,"(218.60298162698746, -169.39144134521484)",-66.95538137696202
1.5906159000005573,"(218.0431163907051, -169.16362476348877)",-67.1197430491492
1.8922328000189736,"(218.09723871946335, -169.1281636953354)",-67.10953191634005
2.174328199995216,"(218.28507697582245, -169.29198396205902)",-67.08131640487872
2.4353151000104845,"(217.57563108205795, -169.24780929088593)",-67.19583818669233
2.7059150999994017,"(217.80770999193192, -169.21292531490326)",-67.22733218895526
3.01015109999571,"(217.95383709669113, -169.15904915332794)",-67.1570768631525
3.2962306000408716,"(217.67992758750916, -169.1736180782318)",-67.16020508979237
3.588132000004407,"(218.0632250905037, -169.4321438074112)",-67.05563489359947
3.8304047000128776,"(217.90999507904053, -169.25089919567108)",-67.09397957559993
4.1625806000083685,"(218.03468519449234, -169.1962991952896)",-67.08684885810644
4.437835699995048,"(218.46833366155624, -169.33116102218628)",-66.99705236108828
4.6951458000112325,"(218.14264780282974, -169.39182233810425)",-67.069315762507
4.966848800017033,"(218.1352115869522, -169.20832109451294)",-67.03169508055858
5.238697600027081,"(218.5248476266861, -169.44834744930267)",-67.01190119234388
5.527974900032859,"(217.76021373271942, -169.07173764705658)",-67.21363765966937
5.776746199990157,"(218.19424521923065, -169.02759063243866)",-67.13529538988934
6.036618600017391,"(218.01839530467987, -169.14139020442963)",-67.10468931221851
6.309893400000874,"(217.63228976726532, -169.18322801589966)",-67.21440947104558
6.592135799990501,"(218.14106023311615, -169.27396893501282)",-67.06709595102676
6.874396800005343,"(217.97313767671585, -169.13825011253357)",-67.17245844916337
7.1837897000368685,"(218.15037971735, -169.1595757007599)",-67.14335501310995
7.450795500015374,"(217.51964801549911, -168.9382964372635)",-67.25778117227517
7.741382300038822,"(218.14516919851303, -169.27213144302368)",-67.0733250835498
7.9982195000047795,"(217.5135766863823, -168.95906448364258)",-67.23421018944946
8.283133100019768,"(218.06974214315414, -169.44141578674316)",-67.11208640708963
8.55946399999084,"(218.244189620018, -169.28666126728058)",-67.05181681785344
8.82020180003019,"(218.27066522836685, -169.33181619644165)",-67.08509349948974
9.092386900039855,"(218.52499294281006, -169.45498275756836)",-66.993104511748
9.381747300038114,"(217.5389010310173, -169.10011756420135)",-67.16668010912554
9.688968200003728,"(218.0427652001381, -169.26601135730743)",-67.14934508901204
9.985181000025477,"(217.91080766916275, -169.1555254459381)",-67.15228890054432
10.278191199991852,"(217.83069723844528, -169.05594491958618)",-67.20609030063652
10.536532099999022,"(218.15691775083542, -169.1980892419815)",-67.03210489190877
10.813476300041657,"(218.1215816140175, -169.19258522987366)",-67.15370274970252
11.057488900027238,"(217.988734126091, -169.26436579227448)",-67.13594425786049
11.329510300012771,"(217.79100519418716, -169.2421497106552)",-67.19657584712269
11.571273700043093,"(218.22860074043274, -169.24932765960693)",-67.03487794871181
11.800875000015367,"(217.584979057312, -169.16353225708008)",-67.20936879143812
12.055745800025761,"(218.31619453430176, -169.36985504627228)",-67.10717550107638
12.31610960001126,"(217.9233781695366, -169.08951485157013)",-67.1807434686266
12.576904500019737,"(218.24232655763626, -169.37150299549103)",-67.06899474361602
12.841261200024746,"(218.08057647943497, -169.2861409187317)",-67.12372504943534
13.111668099998496,"(218.35748541355133, -169.308713555336)",-67.04905059123958
13.385838000045624,"(218.1187038421631, -169.1195443868637)",-67.16114082570866
13.680611399991903,"(218.08398234844208, -169.233633518219)",-67.11712025650793
13.950055500026792,"(218.43700790405273, -169.37159430980682)",-66.99437492693363
14.20653940003831,"(218.48905777931213, -169.37066745758057)",-67.06724621518849
14.49180040002102,"(217.67712408304214, -168.9783492088318)",-67.21829584868333
14.778625500039198,"(217.59884917736053, -169.19816160202026)",-67.26278770093678
15.033161900006235,"(218.35571211576462, -169.43553793430328)",-67.03890093013294
15.30309830000624,"(217.57379841804504, -169.08027851581573)",-67.20195120599949
15.570969899999909,"(218.06026488542557, -169.41777086257935)",-67.13440746529723
15.821580699994229,"(218.7732990384102, -169.48689985275269)",-66.96296288694074
16.05741410003975,"(217.87177604436874, -169.03234791755676)",-67.14560897553605
16.30433140002424,"(218.29827654361725, -169.30439734458923)",-67.03804032629752
16.595826100034174,"(217.79252755641937, -169.1901340484619)",-67.19089312973324
16.86388660001103,"(218.19218903779984, -169.4196171760559)",-67.03448862792911
17.117023200029507,"(217.8095496892929, -169.20573890209198)",-67.16667327893637
17.376541500038,"(217.96279841661453, -169.2611552476883)",-67.1586273160941
17.625935700023547,"(217.7372779250145, -169.1307739019394)",-67.16966490179284
17.889802600024268,"(217.54413133859634, -169.15128302574158)",-67.22081618848706
18.155320600024424,"(217.57210797071457, -169.09426176548004)",-67.20402758350717
18.40499990002718,"(218.35150164365768, -169.3166412115097)",-67.04717911940699
18.689078300027177,"(217.8824159502983, -169.23268735408783)",-67.16628395815368
18.960836800048128,"(217.25484257936478, -169.1378973722458)",-67.28135215510089
19.203669900016394,"(218.4476671218872, -169.44336879253387)",-67.03993228869761
19.460002100036945,"(217.78177666664124, -169.1327519416809)",-67.18508746893872
19.731168700032867,"(218.21778678894043, -169.2806203365326)",-67.07645331018968
19.972936400037725,"(218.31306701898575, -169.46031212806702)",-67.04612727027481
20.234753600030672,"(222.3486694097519, -158.7447066307068)",-67.54334455128424
20.494722300034482,"(228.7641966342926, -144.28957557678223)",-68.79253833915537
20.759329000022262,"(237.4578909277916, -127.91982769966125)",-69.57727926346566
21.009269900037907,"(243.62036418914795, -113.25735998153687)",-70.43137392860824
21.2579010000336,"(248.68949484825134, -98.20603811740875)",-71.67295205555482
21.52120100002503,"(256.0916437506676, -83.08000576496124)",-72.07678699023182
21.78531440004008,"(262.02715158462524, -67.05321049690247)",-72.78621824875353
22.026461500034202,"(268.03646099567413, -50.95950543880463)",-73.4759580718981
22.27858640003251,"(273.2484458684921, -34.73601579666138)",-74.03370448933217
22.5146954000229,"(280.4790766239166, -18.28135359287262)",-74.13101419443734
22.77486530004535,"(285.385418176651, -1.516693115234375)",-74.62485736199677
23.02057920000516,"(290.2596887946129, 15.899022340774536)",-75.07853218704736
23.28338660002919,"(297.14481621980667, 32.7856103181839)",-75.0010368607244
23.544768400024623,"(300.52809473872185, 50.68591916561127)",-75.76319717963861
23.804442699998617,"(307.4887350201607, 72.00094282627106)",-75.64064992555024
24.05986949999351,"(311.9958993792534, 89.62623727321625)",-76.0254081418754
24.320635900017805,"(316.3556097149849, 107.59465837478638)",-76.06823342797138
24.56080530001782,"(321.16801193356514, 125.70254909992218)",-76.31764461570357
24.84190480003599,"(326.0557516217232, 143.6347907781601)",-76.42713937828803
25.112324300047476,"(332.4677140414715, 165.39192080497742)",-76.32386008784827
25.40322840004228,"(336.72194570302963, 183.23318338394165)",-76.63395750635603
