timeStamp,robotRealCenCoords,robotHeading
0.0,"(2307.6989212036133, 1110.9682369232178)",78.92008329326183
0.0,[nan nan]
0.0,"(2307.7727041244507, 1110.9006156921387)",79.18987576547732
0.0,"(2307.072855949402, 1110.431266784668)",79.3943033273358
0.0,"(2307.7793765068054, 1110.884922027588)",78.96074340939091
0.0,"(2306.7088537216187, 1110.837682723999)",79.29305943326871
0.0,"(2309.289608478546, 1111.7208881378174)",78.31932717462418
0.0,"(2307.851155281067, 1110.7494258880615)",79.29538852777569
0.0,"(2307.2409739494324, 1110.6439590454102)",79.38971344021355
0.0,[nan nan]
0.0,"(2307.964919567108, 1110.9341049194336)",78.90293268825592
0.0,"(2309.0262684822083, 1111.3731098175049)",78.47253514789674
0.0,[nan nan]
0.0,"(2307.649127483368, 1110.8659439086914)",79.07674051206523
0.0,"(2307.8864092826843, 1111.1077861785889)",79.44835061423812
0.0,[nan nan]
0.0,"(2306.5294671058655, 1110.4160118103027)",79.46889582326152
0.0,"(2308.309079170227, 1111.0885467529297)",78.82098407859411
0.0,"(2310.360625743866, 1111.8414821624756)",77.99471560413015
0.0,"(2309.690692424774, 1111.7643852233887)",78.23084890411583
0.0,[nan nan]
0.0,[nan nan]
0.0,"(2307.9911484718323, 1110.8895168304443)",79.09357692836932
0.0,[nan nan]
0.0,"(2309.0980100631714, 1111.5386867523193)",78.47879160117647
0.0,"(2308.5535402297974, 1111.2790145874023)",78.82541004117627
0.0,"(2310.0114040374756, 1112.0794296264648)",78.08072134615895
0.0,"(2307.0139174461365, 1110.6763229370117)",79.41986872539917
0.0,[nan nan]
0.0,"(2306.9883847236633, 1110.6138648986816)",79.4026634788799
0.0,"(2307.3751740455627, 1110.9339008331299)",79.17387946244115
0.0,[nan nan]
0.0,"(2306.060079574585, 1110.3571681976318)",79.66638391292327
0.0,[nan nan]
0.0,"(2306.813042163849, 1110.7227249145508)",79.3148818876669
0.0,"(2308.8613295555115, 1111.0508003234863)",78.5666141735245
0.0,"(2307.2456364631653, 1110.6482753753662)",79.21932071098925
0.0,"(2305.4008588790894, 1110.0220947265625)",79.89178015553368
0.0,"(2307.1075768470764, 1110.7239379882812)",79.13694179940973
0.0,"(2306.85209608078, 1110.82564163208)",78.84618064644228
0.0,"(2306.7707228660583, 1111.1513233184814)",78.97824235404448
0.0,"(2306.1124324798584, 1109.907190322876)",80.14250273958652
0.0,"(2311.7843356132507, 1110.1775341033936)",78.7526548661373
0.0,"(2342.037709712982, 1117.131420135498)",76.29494106690244
0.0,[nan nan]
0.0,"(2571.8821115493774, 1183.0206031799316)",63.79056541371243
0.0,"(2737.5441970825195, 1224.9064121246338)",55.63916494121992
0.0,"(2945.0866050720215, 1267.9217891693115)",51.26540549487807
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,"(2971.011459350586, 1471.1269826889038)",19.166892216815416
0.0,"(2796.4049491882324, 1487.139289855957)",12.57318127134143
0.0,"(2672.615182876587, 1506.098319530487)",8.763684242901839
0.0,"(2544.6490211486816, 1528.9741127490997)",6.103193226266702
0.0,"(2367.439220428467, 1557.6867649555206)",3.734966857990059
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,"(76.56578636169434, 2114.289415359497)",27.359338711125112
0.0,[nan nan]
0.0,[nan nan]
0.04965599998831749,[nan nan]
0.14141280017793179,[nan nan]
0.2383581001777202,[nan nan]
0.3343273000791669,[nan nan]
0.42714090016670525,[nan nan]
0.5243941000662744,[nan nan]
0.6235845000483096,[nan nan]
0.7239655000157654,[nan nan]
0.8184043001383543,[nan nan]
0.9161771000362933,[nan nan]
1.011972100008279,[nan nan]
1.1113979001529515,[nan nan]
1.2074343001004308,[nan nan]
1.3059580000117421,[nan nan]
1.4034939999692142,[nan nan]
1.4983457999769598,[nan nan]
1.5969712000805885,[nan nan]
1.69701989996247,[nan nan]
1.80306509998627,[nan nan]
1.90244790003635,[nan nan]
2.0085080000571907,[nan nan]
2.109720200067386,[nan nan]
2.205068200128153,[nan nan]
2.3042361000552773,[nan nan]
2.399220500141382,[nan nan]
2.495478200027719,[nan nan]
2.593417000025511,[nan nan]
2.687249100068584,[nan nan]
2.8027910999953747,[nan nan]
2.9120696999598294,[nan nan]
3.0201270000543445,[nan nan]
3.115425900090486,[nan nan]
3.2156553000677377,[nan nan]
3.3211269001476467,[nan nan]
3.426657000090927,[nan nan]
3.524077899986878,[nan nan]
3.623138900147751,[nan nan]
3.7164235000964254,[nan nan]
3.8152972001116723,[nan nan]
3.9132377000059932,[nan nan]
4.015364400111139,[nan nan]
4.106417699949816,[nan nan]
4.20597180002369,[nan nan]
4.311182399978861,[nan nan]
4.4053257999476045,[nan nan]
4.505637499969453,[nan nan]
4.606116099981591,[nan nan]
4.716604399960488,[nan nan]
4.813684200169519,[nan nan]
4.911415500100702,[nan nan]
5.012496600160375,[nan nan]
5.115776600083336,[nan nan]
5.222714100033045,[nan nan]
5.323732600081712,[nan nan]
5.440259600058198,[nan nan]
5.548877900000662,[nan nan]
5.653227600036189,[nan nan]
5.756553299957886,[nan nan]
5.852599800098687,[nan nan]
5.955047900089994,[nan nan]
6.053648900007829,[nan nan]
6.168279400095344,[nan nan]
6.279981200117618,[nan nan]
6.3837488000281155,[nan nan]
6.488461600150913,[nan nan]
6.5869104999583215,[nan nan]
6.6881655000615865,[nan nan]
6.795671100029722,[nan nan]
6.900766600156203,[nan nan]
7.0024272000882775,[nan nan]
7.105615800013766,[nan nan]
7.213586300145835,[nan nan]
7.3409061001148075,[nan nan]
7.443999300012365,[nan nan]
7.54647390008904,[nan nan]
7.651293599978089,[nan nan]
7.755230600014329,[nan nan]
7.863051900174469,[nan nan]
7.974274100037292,[nan nan]
8.088824900100008,[nan nan]
8.191502399975434,[nan nan]
8.293853500159457,[nan nan]
8.397856700001284,[nan nan]
8.50853560003452,[nan nan]
8.606401600176468,[nan nan]
8.703859900124371,[nan nan]
8.80648050014861,[nan nan]
8.915350600145757,[nan nan]
9.022074999986216,[nan nan]
9.122042000060901,[nan nan]
9.218315599951893,[nan nan]
9.311087399953976,[nan nan]
9.417039700085297,[nan nan]
9.52497380017303,[nan nan]
9.628284299978986,[nan nan]
9.729614299954847,[nan nan]
9.836825600126758,[nan nan]
9.941725100157782,[nan nan]
10.038203899981454,[nan nan]
10.141043100040406,[nan nan]
10.244410800049081,[nan nan]
10.344066000077873,[nan nan]
10.44590530009009,[nan nan]
10.553989700041711,[nan nan]
10.656324099982157,[nan nan]
10.75206770002842,[nan nan]
10.849142299965024,[nan nan]
10.959530600113794,[nan nan]
11.06346940016374,[nan nan]
11.159895200049505,[nan nan]
11.259247600100935,[nan nan]
11.357049799989909,[nan nan]
11.45500830002129,[nan nan]
11.559481299947947,[nan nan]
11.661220700014383,[nan nan]
11.765119800111279,[nan nan]
11.874921099981293,[nan nan]
11.980520700104535,[nan nan]
12.081334500107914,[nan nan]
12.185881200013682,[nan nan]
12.28359830006957,[nan nan]
12.386880700010806,[nan nan]
12.482208500150591,[nan nan]
12.582668600138277,[nan nan]
12.680086700012907,[nan nan]
12.794862600043416,[nan nan]
12.889983000000939,[nan nan]
12.994970800122246,[nan nan]
13.093123900005594,[nan nan]
13.190271700033918,[nan nan]
13.287038600072265,[nan nan]
13.385695199947804,[nan nan]
13.4961233001668,[nan nan]
13.594801400089636,[nan nan]
13.698402300011367,[nan nan]
13.798755200114101,[nan nan]
13.901039800141007,[nan nan]
14.021023000124842,[nan nan]
14.116749300155789,[nan nan]
14.217477299971506,[nan nan]
14.33962170011364,[nan nan]
14.438223900040612,[nan nan]
14.53563420008868,[nan nan]
14.63704579998739,[nan nan]
14.737725400133058,[nan nan]
14.838222300168127,[nan nan]
14.933899900177494,[nan nan]
15.0411603001412,[nan nan]
15.151373100001365,[nan nan]
15.248438199982047,[nan nan]
15.347724799998105,[nan nan]
15.455004800111055,[nan nan]
15.561835200060159,[nan nan]
15.666566899977624,[nan nan]
15.766361500136554,[nan nan]
15.865190300159156,[nan nan]
15.963749499991536,[nan nan]
16.060006899992004,[nan nan]
16.16333040012978,[nan nan]
16.265712900087237,[nan nan]
16.36120819998905,[nan nan]
16.46001480007544,[nan nan]
16.56389950006269,[nan nan]
16.67004010011442,[nan nan]
16.765281999949366,[nan nan]
16.862959200050682,[nan nan]
16.97173109999858,[nan nan]
17.088969900039956,[nan nan]
17.19691459997557,[nan nan]
17.298451300011948,[nan nan]
17.395996500039473,[nan nan]
17.494195300154388,[nan nan]
17.59308210015297,[nan nan]
17.69992580008693,[nan nan]
17.802226800005883,[nan nan]
