timeStamp,robotRealCenCoords,robotHeading
0.0,"(213.96469324827194, -175.53029334545135)",-69.75539693664125
0.0,"(214.24861860275269, -175.68150746822357)",-69.5577039413044
0.0,"(214.27060014009476, -175.65822279453278)",-69.71423138651357
0.0,[nan nan]
0.0,"(214.3928193449974, -175.6186798810959)",-69.63384005998253
0.0,"(214.1572591662407, -175.5868397951126)",-69.71159493349396
0.0,[nan nan]
0.0,"(214.14590293169022, -175.62148571014404)",-69.69600844180798
0.0,[nan nan]
0.0,[nan nan]
0.0,"(213.48606497049332, -175.47538077831268)",-69.85510403814509
0.0,"(213.748051404953, -175.51511871814728)",-69.82259233769582
0.0,[nan nan]
0.0,"(213.7471415400505, -175.5102742910385)",-69.79486859985475
0.0,[nan nan]
0.0,[nan nan]
0.0,"(214.17752343416214, -175.57018327713013)",-69.65310802363113
0.0,"(214.74154484272003, -175.71516239643097)",-69.56616654568604
0.0,"(213.67476320266724, -175.39553248882294)",-69.80367954388406
0.0,"(213.56501191854477, -175.4224717617035)",-69.79634392071547
0.0,"(214.08747279644012, -175.63313746452332)",-69.75248044586564
0.0,"(213.72024828195572, -175.45700097084045)",-69.83604098017159
0.0,"(213.4777197241783, -175.5564593076706)",-69.79798999630545
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,"(213.8191863298416, -175.4163374900818)",-69.89198705966317
0.0,[nan nan]
0.0,"(213.7060883641243, -175.53236508369446)",-69.8074498083059
0.0,[nan nan]
0.0,[nan nan]
0.0,"(213.99102687835693, -175.56769955158234)",-69.77646807023073
0.0,[nan nan]
0.0,[nan nan]
0.0,"(214.39531195163727, -175.48674297332764)",-69.67900127077465
0.0,"(214.26854169368744, -175.75934147834778)",-69.68104349733649
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,"(213.8606862425804, -175.53522837162018)",-69.752173087353
0.0,"(213.84227484464645, -175.5189687013626)",-69.82029056394553
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,"(213.72645419836044, -175.45559537410736)",-69.80238180794176
0.0,[nan nan]
0.0,[nan nan]
0.0,"(214.0696383714676, -175.4963663816452)",-69.68720432796783
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,"(213.8528990149498, -175.50317978858948)",-69.74825938895859
0.0,[nan nan]
0.0,[nan nan]
0.17045079998206347,[nan nan]
0.36066009997739457,"(214.15705966949463, -175.63143801689148)",-69.60441560503811
0.537933499988867,[nan nan]
0.7199629999813624,[nan nan]
0.9113810999842826,"(213.46621030569077, -175.49982368946075)",-69.75095048349156
1.108291399985319,[nan nan]
1.2999759999802336,"(213.45851558446884, -175.5755889415741)",-69.84552128273957
1.484988299984252,"(213.74524331092834, -175.47333693504333)",-69.66825738321022
1.6805819000001065,[nan nan]
1.8617432999890298,"(214.6315956711769, -175.6430025100708)",-69.64426975884514
2.027956299978541,"(214.08032178878784, -175.48406076431274)",-69.60177915201848
2.2022495999990497,[nan nan]
2.3715051999897696,[nan nan]
2.562312699999893,"(213.7145681977272, -175.59844934940338)",-69.76070399362635
2.7401091999781784,"(214.45807057619095, -175.63146364688873)",-69.6640909678165
2.933550199988531,"(213.8638755083084, -175.6116988658905)",-69.65544394832727
3.129529800004093,"(214.19507658481598, -175.7348736524582)",-69.64153085298796
3.3323767999827396,[nan nan]
3.545520299987402,"(213.77858251333237, -175.47364830970764)",-69.70079640441617
3.7453882999834605,"(214.60689222812653, -175.66866624355316)",-69.62672300286738
3.9782191999838687,[nan nan]
4.155059299984714,"(213.7148751616478, -175.54623472690582)",-69.82199128104887
4.366208299994469,"(214.40398448705673, -175.50105440616608)",-69.66975319463846
4.575639599992428,"(213.6307526230812, -175.64469754695892)",-69.75810852174173
4.750986200000625,[nan nan]
4.942335999978241,[nan nan]
5.13843910000287,[nan nan]
5.312361299991608,[nan nan]
5.5085016999801155,[nan nan]
