timeStamp,robotRealCenCoords,robotHeading
0.0,"(212.15953522920609, -172.03558313846588)",-68.65485538586626
0.0,[nan nan]
0.0,"(212.64050716161728, -171.94080102443695)",-68.26436664082746
0.0,[nan nan]
0.0,"(211.9852215051651, -171.8401756286621)",-68.53646771698243
0.0,"(212.23041415214539, -171.9312824010849)",-68.54861862351588
0.0,"(212.28848880529404, -171.95465886592865)",-68.52712401819785
0.0,[nan nan]
0.0,"(211.8365261554718, -171.80950391292572)",-68.53175488645512
0.0,[nan nan]
0.0,"(211.56560361385345, -171.78266036510468)",-68.74110018451601
0.0,"(212.5426104068756, -172.0195313692093)",-68.41501329316127
0.0,"(211.63798505067825, -171.97180902957916)",-68.56557115303585
0.0,"(212.0528808236122, -172.07940185070038)",-68.49500163853128
0.0,"(211.79553031921387, -171.95007586479187)",-68.6616104429554
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,"(211.817518055439, -171.85161530971527)",-68.6787610479613
0.0,"(213.45367497205734, -172.20529985427856)",-68.22382263791427
0.0,[nan nan]
0.0,"(211.4685559272766, -171.80442452430725)",-68.54557235914605
0.0,"(211.25580978393555, -171.76491022109985)",-68.73908527871086
0.0,"(213.01808893680573, -172.24494969844818)",-68.43357091713618
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,"(211.95222091674805, -171.74257278442383)",-68.48933258152017
0.0,"(211.6221039891243, -171.66765880584717)",-68.70382101202608
0.0,"(212.1033371090889, -171.94880294799805)",-68.60228341982467
0.0,"(211.9609558582306, -171.89515566825867)",-68.53850994354426
0.0,"(211.85840040445328, -171.68058097362518)",-68.53573688674123
0.0,"(212.19203752279282, -172.11657881736755)",-68.43398755867555
0.0,[nan nan]
0.0,"(211.50089871883392, -171.6963312625885)",-68.78588573490379
0.0,[nan nan]
0.0,[nan nan]
0.0,"(213.04254347085953, -172.14217245578766)",-68.4469375973419
0.0,"(212.48285549879074, -172.1363343000412)",-68.55934885070197
0.0,"(211.71216386556625, -171.9389889240265)",-68.57868511624228
0.0,"(211.37346762418747, -171.82277536392212)",-68.71710572996176
0.0,"(212.6211455464363, -172.00526678562164)",-68.22933460057446
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,"(210.85843867063522, -171.52533292770386)",-68.90296883765615
0.0,[nan nan]
0.0,[nan nan]
0.0,"(211.69828873872757, -171.75872671604156)",-68.6615421410637
0.0,"(212.6574090719223, -171.96290683746338)",-68.47346605207824
0.0,"(212.16885322332382, -171.83453834056854)",-68.58627345641015
0.0,[nan nan]
0.0,[nan nan]
0.0,"(212.95028448104858, -172.070352435112)",-68.386237706188
0.0,[nan nan]
0.0,"(211.53510999679565, -171.8303371667862)",-68.66567440551155
0.0,"(212.31664389371872, -171.9408986568451)",-68.47013974995244
0.0,"(212.77530908584595, -172.0475423336029)",-68.45942318314468
0.0,"(211.79404336214066, -171.78164792060852)",-68.63320368619732
0.0,"(211.80844807624817, -172.05343866348267)",-68.57455285179442
0.0,[nan nan]
0.0,"(211.50782245397568, -171.7430635690689)",-68.7222898435418
0.0,"(211.91556859016418, -171.83041381835938)",-68.59838338180859
0.0,[nan nan]
0.0,"(212.18519085645676, -171.98483753204346)",-68.49582126123168
0.0,"(211.66434860229492, -171.78669774532318)",-68.73767825974183
0.0,"(211.47612249851227, -171.73165953159332)",-68.77339331891183
0.0,[nan nan]
0.0,[nan nan]
0.0,"(211.66422253847122, -171.94795203208923)",-68.58927873964497
0.0,"(211.44380390644073, -171.6367208957672)",-68.77094128099979
0.0,[nan nan]
0.0,"(211.8298259973526, -171.9393846988678)",-68.65009474401477
0.0,[nan nan]
0.009647300001233816,[nan nan]
0.12195870000869036,[nan nan]
0.2394098000077065,"(212.1207097172737, -171.75086987018585)",-68.59276213612168
0.38264199999684934,"(211.93028753995895, -171.75664341449738)",-68.58393070152485
0.510183300008066,"(211.7583887577057, -171.78583574295044)",-68.58966806042766
0.6459693000069819,"(212.55133771896362, -172.1964854001999)",-68.32668528681465
0.768355000007432,"(211.642375767231, -171.63319993019104)",-68.6971205964503
0.8972062000102596,[nan nan]
1.0288752000051318,"(211.81490170955658, -171.94501078128815)",-68.59937375923825
1.164379599998938,"(211.96471291780472, -171.9672088623047)",-68.53976669835154
1.2896502000075998,[nan nan]
1.4088607000012416,"(211.55806630849838, -171.94526290893555)",-68.70796693685227
1.5335390000109328,[nan nan]
1.6541411000071093,"(211.8123780488968, -171.74383091926575)",-68.594100853199
1.7891562000004342,[nan nan]
1.9089977999974508,"(212.15145683288574, -171.97833907604218)",-68.5155878286897
2.0523182000033557,"(213.1681758761406, -172.08918678760529)",-68.28534215176857
2.210602699997253,"(211.47570979595184, -171.558327794075)",-68.61065723174711
2.348564800005988,"(212.15974301099777, -171.99261116981506)",-68.46563182510023
2.48051980001037,"(213.25942969322205, -172.36718428134918)",-68.14976289674381
2.6034580999985337,"(211.65640741586685, -171.78208768367767)",-68.68845991658272
2.734561899997061,"(212.84364330768585, -172.10055661201477)",-68.32340679601305
2.8591581000073347,"(212.4483271241188, -172.0351333618164)",-68.48785043047027
2.98498940000718,[nan nan]
3.115964600001462,"(211.68107056617737, -171.74944007396698)",-68.58268077690673
3.2572867999988375,"(211.80935484170914, -171.85599279403687)",-68.66966323598685
3.4179913999978453,[nan nan]
3.5458288000081666,[nan nan]
3.6794955000077607,"(212.4563125371933, -171.95463943481445)",-68.35620536440746
3.8186907000053907,"(212.16361075639725, -171.83152103424072)",-68.5767658330855
3.9408507000043755,"(212.3472023010254, -171.86133885383606)",-68.568952096675
4.055343800006085,"(211.9601030945778, -171.89560389518738)",-68.54762824608623
4.169778399998904,[nan nan]
4.308872800000245,[nan nan]
4.454180100001395,"(212.3539755344391, -172.01327526569366)",-68.46735986296024
4.586138200000278,[nan nan]
4.722433000002638,"(211.7587566971779, -171.91056263446808)",-68.60160040090767
4.844557200005511,"(211.94218999147415, -171.7609053850174)",-68.54707500076346
4.966236000007484,"(212.0882931947708, -172.06266033649445)",-68.49059616651662
5.088670099998126,"(212.35501438379288, -171.9791383743286)",-68.41904310477157
5.218852000005427,"(213.44307708740234, -172.35483288764954)",-68.08763549605338
5.355448900008923,"(211.8402778506279, -171.9567654132843)",-68.567907077732
5.483299200001056,"(212.7810633778572, -172.07985317707062)",-68.41590804794254
5.616161199999624,"(211.94056206941605, -171.68257474899292)",-68.68424568986482
5.7415526999975555,"(211.40871161222458, -171.70219922065735)",-68.6149192697892
5.869487999996636,"(212.80299764871597, -172.07190489768982)",-68.22063293957187
6.007221400010167,"(211.79970198869705, -171.93321073055267)",-68.56132960556127
6.132291300003999,"(212.1004650592804, -171.84930288791656)",-68.54889866127185
6.279098099999828,"(212.07168245315552, -172.02583158016205)",-68.58525575822382
6.405937700008508,"(211.6894427537918, -171.83842492103577)",-68.64348312089818
6.5338991000026,"(212.2540442943573, -171.89551663398743)",-68.45811861701321
6.670611900000949,"(211.73130905628204, -171.82039618492126)",-68.58867085280883
6.799542900000233,"(213.18560951948166, -172.06057929992676)",-68.16046580317322
6.932835200001136,"(212.7762652039528, -172.13415670394897)",-68.4832673735372
7.073150299998815,"(212.42066276073456, -171.86108815670013)",-68.61115583555652
7.2141218000033405,"(212.8394699692726, -172.01947796344757)",-68.35508521338357
7.353017400004319,[nan nan]
7.485600500003784,[nan nan]
7.6249415000056615,[nan nan]
7.75273069999821,"(212.6807725429535, -171.96681380271912)",-68.44469729529413
7.907101999997394,"(212.45603227615356, -172.08244681358337)",-68.51962447048918
8.051170899998397,"(211.43586844205856, -171.7842457294464)",-68.65211648000908
8.178906300003291,[nan nan]
